Player,Birth Year,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year_start,Year_end,Length,HOF
Jarrett Jack,1984.0,805.0,343.0,22592.0,3185.0,7230.0,0.4405255878284924,595.0,1723.0,0.3453279164248404,2590.0,5507.0,0.47031051389141093,0.48167358229598894,1918.0,2241.0,0.8558679161088799,255.0,2041.0,2296.0,3604.0,648.0,103.0,1608.0,1485.0,8883.0,14.260596671388098,0.5405888968408139,0.23831258644536654,0.3099585062240664,1.3058826133144477,10.464868094900853,5.878244511331444,25.721153505665725,1.508764164305949,0.3771821883852692,16.477195467422092,19.927093661473087,23.5,11.900000000000002,35.699999999999996,0.07582586756373938,0.2912933781869689,-1.2844945113314448,-1.00298335694051,5.7,2006.0,2017.0,12.0,0
Jarrod Uthoff,1994.0,9.0,0.0,115.0,16.0,38.0,0.42105263157894735,3.0,9.0,0.3333333333333333,13.0,29.0,0.4482758620689655,0.4605263157894737,5.0,7.0,0.7142857142857143,8.0,14.0,22.0,9.0,2.0,4.0,3.0,8.0,40.0,13.9,0.48685491723466406,0.23684210526315788,0.18421052631578946,7.7,14.8,11.1,12.8,0.9,3.1,6.8,18.1,0.1,0.1,0.2,0.083,-2.1,0.7,-1.4,0.0,2017.0,2017.0,1.0,0
Jarron Collins,1979.0,542.0,216.0,8542.0,682.0,1500.0,0.45466666666666666,0.0,5.0,0.0,682.0,1495.0,0.4561872909698997,0.45466666666666666,731.0,1046.0,0.6988527724665392,645.0,934.0,1579.0,419.0,138.0,98.0,334.0,1316.0,2095.0,9.361121517209083,0.5343733420397503,0.0033333333333333335,0.6973333333333334,9.160383985015219,13.39229688597518,11.251756029033013,7.645094825567783,0.8471435261062984,0.9332123624443923,14.761835635682509,12.27998126902365,10.4,5.399999999999999,15.7,0.08834944977756966,-1.375567782720674,-0.40632170451884814,-1.7818894872395226,0.39999999999999997,2002.0,2011.0,10.0,0
Jarvis Hayes,1982.0,427.0,115.0,9898.0,1397.0,3363.0,0.41540291406482305,392.0,1101.0,0.35603996366939145,1005.0,2262.0,0.4442970822281167,0.47368421052631576,367.0,460.0,0.7978260869565217,244.0,1086.0,1330.0,459.0,312.0,56.0,374.0,852.0,3553.0,10.785987068094565,0.49826106467717507,0.32738626226583406,0.1367826345524829,2.772236815518287,12.987896544756518,7.7588704788846234,7.764113962416651,1.6479389775712265,0.42479288745201044,9.433259244291778,17.965417256011317,3.5999999999999996,6.7,10.200000000000001,0.04948555263689634,-1.5072135785007077,-1.4040513234996967,-2.8979692867245905,-2.3000000000000003,2004.0,2010.0,7.0,0
Jarvis Varnado,1989.0,37.0,0.0,397.0,39.0,67.0,0.582089552238806,0.0,0.0,0.0,39.0,67.0,0.582089552238806,0.582089552238806,29.0,56.0,0.5178571428571429,21.0,51.0,72.0,16.0,11.0,31.0,16.0,72.0,107.0,11.532241813602015,0.5838061981667394,0.0,0.835820895522388,5.5954659949622165,14.51234256926952,9.912342569269521,5.919143576826197,1.3269521410579344,6.215617128463476,15.16826196473552,11.673047858942065,0.4,0.4,0.7000000000000001,0.08872544080604534,-4.015869017632242,2.1539042821158687,-1.8619647355163729,0.0,2013.0,2014.0,2.0,0
Jason Caffey,1974.0,462.0,170.0,9045.0,1276.0,2652.0,0.48114630467571645,0.0,8.0,0.0,1276.0,2644.0,0.4826021180030257,0.48114630467571645,816.0,1282.0,0.6365054602184087,841.0,1181.0,2022.0,420.0,209.0,110.0,647.0,1148.0,3368.0,12.431409618573799,0.5236188154523519,0.0030165912518853697,0.48340874811463047,10.184776119402985,14.683073521282475,12.375245992260918,7.3632283029297945,1.1928800442233276,0.9089331122166943,16.684466556108347,18.846334991708126,6.0,7.6,13.5,0.07201923714759535,-1.9190160309563296,-0.7980983969043671,-2.7236705362078495,-1.5,1996.0,2003.0,8.0,0
Jason Collier,1978.0,151.0,65.0,2178.0,338.0,743.0,0.4549125168236878,7.0,20.0,0.35,331.0,723.0,0.4578146611341632,0.45962314939434723,158.0,214.0,0.7383177570093458,175.0,268.0,443.0,51.0,36.0,32.0,120.0,295.0,841.0,11.741643709825528,0.5022934683931387,0.026917900403768506,0.288021534320323,9.094123048668504,14.364095500459136,11.700596877869605,4.06831955922865,0.8707988980716252,1.0935720844811754,12.356519742883378,19.948301193755736,1.2,0.7000000000000001,1.9,0.041741046831955925,-3.1631772268135903,-3.0666207529843894,-6.2345730027548205,-2.3,2001.0,2005.0,5.0,0
Jason Collins,1979.0,735.0,477.0,14974.0,918.0,2234.0,0.41092211280214863,7.0,34.0,0.20588235294117646,911.0,2200.0,0.41409090909090907,0.4124888093106535,778.0,1202.0,0.6472545757071547,915.0,1791.0,2706.0,626.0,368.0,359.0,605.0,2056.0,2621.0,7.049585948978229,0.4743238939078063,0.01521933751119069,0.5380483437779767,7.099191932683318,14.058134099105118,10.56462535060772,6.358594897822894,1.2948443969547214,1.8498998263657,18.705162281287564,10.40707225858154,0.7,19.400000000000006,20.200000000000003,0.06448270335247763,-3.9637438226258843,2.009877120341926,-1.9788700414051021,0.20000000000000048,2002.0,2014.0,13.0,0
Jason Hart,1979.0,341.0,56.0,5289.0,614.0,1473.0,0.41683638832315,64.0,203.0,0.31527093596059114,550.0,1270.0,0.4330708661417323,0.43856076035302105,331.0,420.0,0.7880952380952381,76.0,491.0,567.0,774.0,253.0,34.0,275.0,528.0,1623.0,12.24849688031764,0.48950416214259856,0.13781398506449424,0.285132382892057,1.6331253545093591,10.933824919644547,6.198052561920968,23.293741728114956,2.486840612592173,0.5003214218188693,14.375193798449612,16.504575534127436,2.8999999999999995,5.9,8.7,0.07781943656645869,-1.643108338060125,-0.09238041217621476,-1.7509548118737,0.5000000000000001,2001.0,2010.0,10.0,0
Jason Kapono,1982.0,509.0,87.0,9068.0,1336.0,3026.0,0.44150693985459355,457.0,1054.0,0.4335863377609108,879.0,1972.0,0.44574036511156184,0.5170191672174488,269.0,322.0,0.8354037267080745,165.0,679.0,844.0,417.0,180.0,25.0,327.0,777.0,3398.0,10.446272606969563,0.5363546822911405,0.34831460674157305,0.10641110376734964,2.117159241288046,8.732631230701367,5.41444640494045,7.484164093515659,1.034814733127481,0.2044662549625055,9.547452580502865,17.72566166740185,5.8,4.399999999999999,10.3,0.054752536391707116,-0.8604984561093956,-2.1657146007940007,-3.006804146449052,-2.1999999999999997,2004.0,2012.0,9.0,0
